,City,Lat,Lng,Max Temp,Humidity,Cloudiness,WindSpeed,Country,Date
0,Nianzishan,47.52,122.88,56.05,46,4,4.0,CN,1589042647
1,Bluff,-46.6,168.33,52.68,80,30,10.18,NZ,1589042058
2,Ubari,26.59,12.78,96.85,9,0,11.03,LY,1589042149
3,Nowy Dwór Gdański,54.21,19.12,59.0,58,37,6.93,PL,1589042648
4,Hithadhoo,-0.6,73.08,85.14,79,100,13.87,MV,1589041968
5,Laas,46.62,10.7,60.8,59,40,8.05,IT,1589042648
6,Christchurch,-43.53,172.63,54.0,93,9,6.93,NZ,1589042649
7,Clarence Town,-32.58,151.78,55.99,87,0,8.05,AU,1589042649
8,Kahului,20.89,-156.47,71.6,78,40,5.82,US,1589042649
9,Naze,28.37,129.48,71.6,94,90,4.7,JP,1589042649
10,Vysokogornyy,50.12,139.15,36.25,79,98,1.61,RU,1589042650
11,Albany,42.6,-73.97,41.0,32,44,8.99,US,1589042650
12,Nikolskoye,59.7,30.79,54.0,37,0,11.18,RU,1589042650
13,Vaini,-21.2,-175.2,78.8,100,75,9.17,TO,1589042650
14,Altay,47.87,88.12,55.72,33,0,9.26,CN,1589042572
15,Atuona,-9.8,-139.03,81.1,73,34,17.69,PF,1589042068
16,Jobabo,20.97,-76.3,89.6,55,75,4.7,CU,1589042651
17,Portland,45.52,-122.68,77.0,40,40,4.7,US,1589042246
18,Rikitea,-23.12,-134.97,75.02,69,66,3.44,PF,1589042652
19,Lander,42.83,-108.73,46.0,70,90,6.17,US,1589042652
20,Severo-Kuril'sk,50.68,156.12,33.04,92,86,19.13,RU,1589042114
21,Bathsheba,13.22,-59.52,86.0,62,40,23.04,BB,1589042136
22,George Town,5.41,100.34,84.2,94,20,3.36,MY,1589041844
23,Ushuaia,-54.8,-68.3,44.6,87,75,4.7,AR,1589042653
24,Cockburn Town,21.46,-71.14,81.1,82,98,19.15,TC,1589042090
25,Nanortalik,60.14,-45.24,43.66,60,0,15.43,GL,1589042094
26,Tiksi,71.69,128.87,13.33,94,22,5.59,RU,1589042106
27,Broken Hill,-31.95,141.43,44.6,75,0,5.82,AU,1589042145
28,Saint Paul Harbor,57.79,-152.41,44.6,87,90,11.41,US,1589042118
29,Ribeira Grande,38.52,-28.7,66.2,82,75,18.34,PT,1589042127
30,Hobart,-42.88,147.33,42.8,75,75,4.7,AU,1589042432
31,Cape Town,-33.93,18.42,73.4,60,0,3.36,ZA,1589042602
32,Busselton,-33.65,115.33,44.01,68,0,5.84,AU,1589042655
33,Punta Arenas,-53.15,-70.92,46.4,87,75,2.06,CL,1589042655
34,Khatanga,71.97,102.5,19.74,96,82,12.17,RU,1589042066
35,Iquitos,-3.75,-73.25,78.8,74,75,6.93,PE,1589042498
36,Airai,-8.93,125.41,57.29,100,93,3.18,TL,1589042111
37,Grindavik,63.84,-22.43,42.8,33,0,12.75,IS,1589042142
38,Hermanus,-34.42,19.23,69.01,62,0,1.99,ZA,1589042656
39,Saint-François,46.42,3.91,75.2,53,80,5.82,FR,1589042657
40,Yar-Sale,66.83,70.83,33.17,94,45,5.82,RU,1589041984
41,Oussouye,12.48,-16.55,87.8,78,20,9.17,SN,1589042657
42,Pundaguitan,6.37,126.17,83.82,77,99,7.58,PH,1589042658
43,Mataura,-46.19,168.86,46.35,86,24,3.91,NZ,1589042658
44,Yārāda,17.65,83.27,86.0,79,20,9.17,IN,1589042658
45,Butaritari,3.07,172.79,82.72,78,52,6.85,KI,1589042075
46,Tasiilaq,65.61,-37.64,32.0,82,75,9.17,GL,1589042059
47,Nogliki,51.83,143.17,30.51,97,68,6.4,RU,1589042659
48,Barrow,71.29,-156.79,21.2,92,90,6.93,US,1589042659
49,Yanagawa,33.17,130.4,71.6,83,75,19.46,JP,1589042659
50,Huarmey,-10.07,-78.15,74.93,66,36,11.5,PE,1589042659
51,Narsaq,60.92,-46.05,55.4,13,20,21.92,GL,1589042164
52,Bethel,41.37,-73.41,42.01,41,40,14.99,US,1589042084
53,Chokurdakh,70.63,147.92,23.45,98,76,4.61,RU,1589042064
54,Hofn,64.25,-15.21,36.1,68,18,7.7,IS,1589042661
55,Karratha,-20.74,116.85,76.95,52,88,9.55,AU,1589042661
56,Arraial do Cabo,-22.97,-42.03,75.2,57,20,8.05,BR,1589042455
57,Namatanai,-3.67,152.43,80.49,82,13,6.44,PG,1589042168
58,Bredasdorp,-34.53,20.04,62.6,55,38,5.82,ZA,1589042064
59,Yellowknife,62.46,-114.35,28.4,68,20,12.75,CA,1589041883
60,Saint-Joseph,-21.37,55.62,75.2,73,75,17.22,RE,1589042179
61,Neryungri,56.67,124.65,25.45,94,5,2.82,RU,1589042662
62,Riohacha,11.54,-72.91,96.8,47,22,17.22,CO,1589042663
